trial,testing,steps,stamina_left,epsilon,alpha,success,outcome
1,False,86,0,0.9579,0.1,False,Dead
2,False,80,0,0.9203,0.1,False,Dead
3,False,93,0,0.8785,0.1,False,Dead
4,False,65,-13,0.8504,0.1,False,Dead
5,False,47,11,0.8307,0.1,True,Goal
6,False,50,0,0.8101,0.1,False,Dead
7,False,95,0,0.7725,0.1,False,Dead
8,False,41,-5,0.7569,0.1,False,Dead
9,False,103,0,0.7189,0.1,False,Dead
10,False,99,0,0.6841,0.1,False,Dead
11,False,81,0,0.657,0.1,False,Dead
12,False,106,0,0.6231,0.1,False,Dead
13,False,82,-1,0.598,0.1,False,Dead
14,False,55,-1,0.5818,0.1,False,Dead
15,False,83,-2,0.5581,0.1,False,Dead
16,False,70,0,0.5389,0.1,False,Dead
17,False,85,11,0.5165,0.1,True,Goal
18,False,55,-24,0.5025,0.1,False,Dead
19,False,47,0,0.4908,0.1,False,Dead
20,False,47,-21,0.4794,0.1,False,Dead
21,False,88,-4,0.4588,0.1,False,Dead
22,False,44,-3,0.4488,0.1,False,Dead
23,False,70,0,0.4334,0.1,False,Dead
24,False,71,0,0.4182,0.1,False,Dead
25,False,82,0,0.4014,0.1,False,Dead
26,False,66,-1,0.3884,0.1,False,Dead
27,False,39,0,0.3809,0.1,False,Dead
28,False,36,0,0.3741,0.1,False,Dead
29,False,42,-25,0.3663,0.1,False,Dead
30,False,85,0,0.3511,0.1,False,Dead
31,False,57,40,0.3412,0.1,True,Goal
32,False,51,-12,0.3326,0.1,False,Dead
33,False,48,-3,0.3247,0.1,False,Dead
34,False,77,0,0.3125,0.1,False,Dead
35,False,103,0,0.2968,0.1,False,Dead
36,False,76,0,0.2857,0.1,False,Dead
37,False,75,-40,0.2752,0.1,False,Dead
38,False,87,0,0.2635,0.1,False,Dead
39,False,63,0,0.2553,0.1,False,Dead
40,False,90,0,0.2441,0.1,False,Dead
41,False,75,-36,0.2351,0.1,False,Dead
